Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Postal Code,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,ORD-2023-100000,04/22/2023,04/29/2023,Standard Class,CUST-1645,Maria Garcia ,Consumer,East,New Jersey,,Office Supplies,Art,29.18,9,0.0,-3.14
2,ORD-2022-100001,11/27/2022,12/01/2022,Standard Class,CUST-1029,Priya Patel,Consumer,East,Pennsylvania,,Technology,Machines,403.66,7,0.0,376.81
3,ORD-2024-100002,03/30/2024,04/06/2024,Standard Class,CUST-1916,David O'Brien,Corporate,South,Georgia,33728.0,Office Supplies,Paper,7.41,9,0.0,12.58
4,ORD-2023-100003,05/24/2023,05/25/2023,Standard Class,CUST-1792,David O'Brien,Consumer,South,North Carolina,,Furniture,Chairs,198.07,6,0.0,165.73
5,ORD-2023-100004,08/27/2023,08/28/2023,Standard Class,CUST-1713,Priya Patel,Corporate,East,Massachusetts,,Technology,Copiers,517.56,1,0.0,49.48
6,ORD-2024-100005,12/21/2024,12/27/2024,Standard Class,CUST-1412,Maria Garcia ,Corporate,South,Georgia,,Office Supplies,Binders,20.84,7,0.0,-15.06
7,ORD-2024-100006,05/01/2024,05/06/2024,Standard Class,CUST-1824,,Home Office,West,California,,Office Supplies,Art,63.26,1,0.0,-0.26
8,ORD-2023-100007,07/07/2023,07/09/2023,Second Class,CUST-1668,Fatima Noor,Corporate,Central,Illinois,34576.0,Technology,Phones,461.77,8,0.0,382.37
9,ORD-2022-100008,08/29/2022,09/01/2022,Second Class,CUST-1455,John Smith,Home Office,Central,Michigan,,Furniture,Chairs,609.86,1,0.0,268.78
10,ORD-2024-100009,03/21/2024,03/26/2024,Standard Class,CUST-1047,Aisha Khan,Corporate,Central,Texas,,Office Supplies,Art,38.03,8,0.0,115.13
11,ORD-2024-100010,04/25/2024,05/01/2024,Second Class,CUST-1878,John Smith,Corporate,South,North Carolina,,Furniture,Furnishings,134.69,4,0.0,172.05
12,ORD-2023-100011,02/01/2023,02/06/2023,Second Class,CUST-1047,  John Smith,Home Office,South,Florida,,Technology,Phones,460.38,1,0.0,59.88
13,ORD-2023-100012,09/07/2023,09/14/2023,First Class,CUST-1075,Wei Chen,Home Office,Central,Illinois,,Office Supplies,Storage,54.92,7,0.0,84.39
14,ORD-2022-100013,04/13/2022,04/16/2022,Standard Class,CUST-1753,,Consumer,South,Florida,,Office Supplies,Binders,80.34,7,0.0,47.25
15,ORD-2024-100014,06/21/2024,06/24/2024,Standard Class,CUST-1523,John Smith,Corporate,South,Alabama,,Office Supplies,Binders,34.85,7,0.0,55.41
16,ORD-2024-100015,01/14/2024,01/15/2024,Second Class,CUST-1468,  John Smith,Consumer,West,California,13154.0,Technology,Accessories,295.63,5,0.1,398.36
17,ORD-2024-100016,04/04/2024,04/09/2024,Second Class,CUST-1033,  John Smith,Corporate,Central,Texas,,Furniture,Bookcases,348.79,6,0.0,350.45
18,ORD-2024-100017,12/17/2024,12/18/2024,Standard Class,CUST-1617,  John Smith,Consumer,West,Washington,,Furniture,Furnishings,401.6,1,0.1,-6.41
19,ORD-2024-100018,09/28/2024,09/30/2024,Second Class,CUST-1148,,Home Office,East,Pennsylvania,,Technology,Phones,174.73,1,0.0,20.27
20,ORD-2023-100019,12/17/2023,12/20/2023,Second Class,CUST-1992,  John Smith,Home Office,Central,Michigan,,Technology,Accessories,444.82,8,0.0,-231.74
21,ORD-2022-100020,10/27/2022,11/03/2022,Second Class,CUST-1046,Liam O'Connor,Corporate,Central,Michigan,,Office Supplies,Binders,5.89,5,0.1,8.82
